entity_index,num_replicates,modality
1100,5,Compound
1101,8,Compound
1102,4,Compound
1103,3,Compound
1104,8,Compound
1105,7,Compound
1106,5,Compound
1107,7,Compound
1108,8,Compound
1109,5,Compound
1110,5,Compound
1111,3,Compound
1112,4,Compound
1113,7,Compound
1114,2,Compound
1115,4,Compound
1116,4,Compound
1117,4,Compound
1118,6,Compound
1119,5,Compound
1120,2,Compound
1121,5,Compound
1122,5,Compound
1123,4,Compound
1124,3,Compound
1125,5,Compound
1126,7,Compound
1127,7,Compound
1128,3,Compound
1129,4,Compound
1130,3,Compound
1131,4,Compound
1132,6,Compound
1133,8,Compound
1134,5,Compound
1135,8,Compound
1136,6,Compound
1137,5,Compound
1138,5,Compound
1139,5,Compound
1140,2,Compound
1141,5,Compound
1142,5,Compound
1143,3,Compound
1144,5,Compound
1145,8,Compound
1146,5,Compound
1147,5,Compound
1148,5,Compound
1149,4,Compound
1150,3,Compound
1151,10,Compound
1152,5,Compound
1153,4,Compound
1154,7,Compound
1155,4,Compound
1156,3,Compound
1157,4,Compound
1158,8,Compound
1159,5,Compound
1160,4,Compound
1161,4,Compound
1162,10,Compound
1163,3,Compound
1164,5,Compound
1165,10,Compound
1166,3,Compound
1167,5,Compound
1168,3,Compound
1169,4,Compound
1170,5,Compound
1171,5,Compound
1172,3,Compound
1173,3,Compound
1174,7,Compound
1175,4,Compound
1176,5,Compound
1177,8,Compound
1178,7,Compound
1179,5,Compound
1180,7,Compound
1181,7,Compound
1182,6,Compound
1183,3,Compound
1184,4,Compound
1185,7,Compound
1186,5,Compound
1187,2,Compound
1188,9,Compound
1189,4,Compound
1190,5,Compound
1191,5,Compound
1192,3,Compound
1193,7,Compound
1194,4,Compound
1195,5,Compound
1196,4,Compound
1197,5,Compound
1198,7,Compound
1199,3,Compound
1200,7,Compound
1201,3,Compound
1202,4,Compound
1203,8,Compound
1204,7,Compound
1205,7,Compound
1206,4,Compound
1207,4,Compound
1208,5,Compound
1209,3,Compound
1210,8,Compound
1211,7,Compound
1212,2,Compound
1213,8,Compound
1214,10,Compound
1215,7,Compound
1216,8,Compound
1217,7,Compound
1218,4,Compound
1219,5,Compound
1220,4,Compound
1221,3,Compound
1222,8,Compound
1223,3,Compound
1224,4,Compound
1225,4,Compound
1226,7,Compound
1227,4,Compound
1228,8,Compound
1229,4,Compound
1230,7,Compound
1231,4,Compound
1232,4,Compound
1233,6,Compound
1234,4,Compound
1235,5,Compound
1236,5,Compound
1237,8,Compound
1238,8,Compound
1239,5,Compound
