method,num_queries,topk,corr_threshold,directed_hits,unique_pair_hits,queries_with_hit,query_hit_rate,hit_yield_per_1000_ranked,mean_hit_rank,median_hit_corr,setting,low_tanimoto
Avalon,1856,100,0.4,426,303,143,0.07704741379310345,2.2952586206896552,49.251173708920184,0.4428821951150894,low_morgan_lt_0.15,0.15
Random,1856,100,0.4,209,204,101,0.05441810344827586,1.1260775862068964,49.961722488038276,0.4443823993206024,low_morgan_lt_0.15,0.15
CGP-Align,1856,10,0.25,754,587,267,0.14385775862068967,40.625,5.245358090185676,0.33685383200645447,low_morgan_lt_0.20,0.2
RDKit2D,1856,10,0.25,280,247,178,0.09590517241379311,15.086206896551724,5.353571428571429,0.32904210686683655,low_morgan_lt_0.20,0.2
NYAN,1856,10,0.25,346,274,199,0.10721982758620689,18.642241379310345,5.384393063583815,0.3262544870376587,low_morgan_lt_0.20,0.2
Morgan,1856,10,0.25,279,177,186,0.10021551724137931,15.032327586206897,5.111111111111111,0.33649176359176636,low_morgan_lt_0.20,0.2
AtomPair,1856,10,0.25,309,236,181,0.09752155172413793,16.648706896551726,5.449838187702265,0.32904210686683655,low_morgan_lt_0.20,0.2
Avalon,1856,10,0.25,288,214,173,0.09321120689655173,15.517241379310345,5.71875,0.3252861201763153,low_morgan_lt_0.20,0.2
Random,1856,10,0.25,120,119,99,0.05334051724137931,6.4655172413793105,5.35,0.30036865174770355,low_morgan_lt_0.20,0.2
CGP-Align,1856,50,0.25,3031,2237,367,0.19773706896551724,32.661637931034484,23.711316397228636,0.32972368597984314,low_morgan_lt_0.20,0.2
RDKit2D,1856,50,0.25,1337,1023,317,0.17079741379310345,14.407327586206897,24.594614809274496,0.32262685894966125,low_morgan_lt_0.20,0.2
NYAN,1856,50,0.25,1452,1056,351,0.18911637931034483,15.646551724137932,24.12878787878788,0.31736257672309875,low_morgan_lt_0.20,0.2
Morgan,1856,50,0.25,1127,713,334,0.17995689655172414,12.144396551724139,23.570541259982253,0.32525137066841125,low_morgan_lt_0.20,0.2
AtomPair,1856,50,0.25,1455,1041,343,0.18480603448275862,15.678879310344826,25.05360824742268,0.3210274577140808,low_morgan_lt_0.20,0.2
Avalon,1856,50,0.25,1315,900,314,0.16918103448275862,14.170258620689657,24.736882129277568,0.3233618140220642,low_morgan_lt_0.20,0.2
Random,1856,50,0.25,672,655,266,0.14331896551724138,7.241379310344828,26.361607142857142,0.3061753213405609,low_morgan_lt_0.20,0.2
CGP-Align,1856,100,0.25,5342,3775,416,0.22413793103448276,28.782327586206897,45.54118307749906,0.325595498085022,low_morgan_lt_0.20,0.2
RDKit2D,1856,100,0.25,2577,1798,400,0.21551724137931033,13.884698275862068,48.87776484284051,0.3174872100353241,low_morgan_lt_0.20,0.2
NYAN,1856,100,0.25,2684,1844,407,0.2192887931034483,14.461206896551724,47.5424739195231,0.3151449114084244,low_morgan_lt_0.20,0.2
Morgan,1856,100,0.25,2114,1318,383,0.20635775862068967,11.390086206896552,47.67407757805109,0.32159994542598724,low_morgan_lt_0.20,0.2
AtomPair,1856,100,0.25,2824,1907,411,0.22144396551724138,15.21551724137931,49.396954674220964,0.3183371424674988,low_morgan_lt_0.20,0.2
Avalon,1856,100,0.25,2590,1779,373,0.2009698275862069,13.954741379310345,49.61003861003861,0.31927239894866943,low_morgan_lt_0.20,0.2
Random,1856,100,0.25,1344,1308,343,0.18480603448275862,7.241379310344828,50.43452380952381,0.3059873878955841,low_morgan_lt_0.20,0.2
CGP-Align,1856,10,0.3,507,390,208,0.11206896551724138,27.316810344827587,5.21301775147929,0.37334543466567993,low_morgan_lt_0.20,0.2
RDKit2D,1856,10,0.3,187,162,132,0.07112068965517242,10.075431034482758,5.197860962566845,0.36649957299232483,low_morgan_lt_0.20,0.2
NYAN,1856,10,0.3,211,169,135,0.07273706896551724,11.368534482758621,5.312796208530806,0.3699013590812683,low_morgan_lt_0.20,0.2
Morgan,1856,10,0.3,191,121,138,0.07435344827586207,10.29094827586207,5.0890052356020945,0.36649957299232483,low_morgan_lt_0.20,0.2
AtomPair,1856,10,0.3,198,150,130,0.07004310344827586,10.668103448275863,5.4393939393939394,0.3657797574996948,low_morgan_lt_0.20,0.2
Avalon,1856,10,0.3,184,136,120,0.06465517241379311,9.913793103448276,5.673913043478261,0.37518587708473206,low_morgan_lt_0.20,0.2
Random,1856,10,0.3,60,60,53,0.028556034482758622,3.2327586206896552,5.483333333333333,0.3646082282066345,low_morgan_lt_0.20,0.2
CGP-Align,1856,50,0.3,1965,1451,287,0.15463362068965517,21.174568965517242,23.470737913486005,0.3708104193210602,low_morgan_lt_0.20,0.2
