low_tanimoto,corr_threshold,topk,baseline,directed_hits_delta,directed_hits_relative,unique_pair_hits_delta,unique_pair_hits_relative,query_hit_rate_delta,yield_delta_per_1000,cgp_only_unique_pairs,baseline_only_unique_pairs,overlap_unique_pairs
0.2,0.25,100,Morgan,3228,2.5269631031220436,2457,2.864188163884674,0.017780172413793094,17.392241379310345,3047,590,728
0.2,0.25,100,AtomPair,2518,1.891643059490085,1868,1.9795490298898795,0.0026939655172413812,13.566810344827587,2705,837,1070
0.2,0.25,100,Avalon,2752,2.0625482625482627,1996,2.1219786396852163,0.023168103448275856,14.827586206896552,2876,880,899
0.2,0.3,10,RDKit2D,320,2.7112299465240643,228,2.4074074074074074,0.040948275862068964,17.24137931034483,346,118,44
0.2,0.3,10,NYAN,296,2.4028436018957344,221,2.3076923076923075,0.039331896551724144,15.948275862068966,350,129,40
0.2,0.3,10,Morgan,316,2.654450261780105,269,3.2231404958677685,0.03771551724137931,17.025862068965516,362,93,28
0.2,0.3,10,AtomPair,309,2.5606060606060606,240,2.6,0.042025862068965525,16.648706896551722,351,111,39
0.2,0.3,10,Avalon,323,2.755434782608696,254,2.8676470588235294,0.04741379310344827,17.40301724137931,372,118,18
0.2,0.3,50,RDKit2D,1126,2.3420738974970203,819,2.295886075949367,0.020474137931034475,12.133620689655173,1123,304,328
0.2,0.3,50,NYAN,1113,2.306338028169014,830,2.3365539452495976,0.011314655172413784,11.993534482758621,1160,330,291
0.2,0.3,50,Morgan,1231,2.6771117166212535,997,3.196035242290749,0.012931034482758619,13.265086206896552,1241,244,210
0.2,0.3,50,AtomPair,1067,2.1881959910913142,816,2.2850393700787404,0.014008620689655166,11.497844827586208,1137,321,314
0.2,0.3,50,Avalon,1146,2.399267399267399,894,2.6050269299820465,0.021551724137931022,12.349137931034484,1228,334,223
0.2,0.3,100,RDKit2D,1831,2.186649384316267,1316,2.2322097378277155,0.006465517241379309,9.865301724137932,1694,378,690
0.2,0.3,100,NYAN,1808,2.1545338441890167,1305,2.2094531974050047,0.001077586206896547,9.74137931034483,1733,428,651
0.2,0.3,100,Morgan,2062,2.5716463414634148,1571,2.9323493234932347,0.010237068965517238,11.10991379310345,1912,341,472
0.2,0.3,100,AtomPair,1685,1.9976317347542925,1244,2.0912280701754384,0.0,9.078663793103448,1695,451,689
0.2,0.3,100,Avalon,1811,2.1586692258477287,1309,2.217674418604651,0.00969827586206895,9.757543103448278,1813,504,571
0.2,0.4,10,RDKit2D,139,3.074626865671642,97,2.732142857142857,0.024245689655172414,7.489224137931034,136,39,17
0.2,0.4,10,NYAN,128,2.641025641025641,91,2.467741935483871,0.022629310344827583,6.896551724137931,140,49,13
0.2,0.4,10,Morgan,141,3.169230769230769,112,3.731707317073171,0.028017241379310345,7.596982758620689,142,30,11
0.2,0.4,10,AtomPair,144,3.3225806451612905,107,3.3260869565217392,0.028017241379310345,7.758620689655172,139,32,14
0.2,0.4,10,Avalon,137,2.9855072463768115,102,3.0,0.026400862068965514,7.381465517241379,149,47,4
0.2,0.4,50,RDKit2D,462,2.6923076923076925,324,2.5576923076923075,0.02209051724137931,4.978448275862069,419,95,113
0.2,0.4,50,NYAN,435,2.45,315,2.4516129032258065,0.017241379310344834,4.6875,428,113,104
0.2,0.4,50,Morgan,496,3.075313807531381,386,3.643835616438356,0.025323275862068964,5.344827586206897,458,72,74
0.2,0.4,50,AtomPair,472,2.79467680608365,342,2.8,0.02478448275862069,5.086206896551724,430,88,102
0.2,0.4,50,Avalon,464,2.7121771217712176,349,2.907103825136612,0.021551724137931036,5.0,458,109,74
0.2,0.4,100,RDKit2D,694,2.430927835051546,481,2.402332361516035,0.017780172413793108,3.7392241379310347,595,114,229
0.2,0.4,100,NYAN,652,2.23719165085389,468,2.3146067415730336,0.011853448275862072,3.512931034482759,595,127,229
0.2,0.4,100,Morgan,753,2.767605633802817,563,3.157088122605364,0.016163793103448287,4.057112068965518,659,96,165
0.2,0.4,100,AtomPair,668,2.3072407045009786,479,2.3884057971014494,0.015086206896551727,3.599137931034483,597,118,227
0.2,0.4,100,Avalon,670,2.3163064833005893,479,2.3884057971014494,0.012392241379310345,3.6099137931034484,625,146,199
0.15,0.25,10,RDKit2D,473,3.3300492610837438,355,2.9086021505376345,0.05549568965517242,25.484913793103452,506,151,35
0.15,0.25,10,NYAN,409,2.5318352059925093,332,2.588516746411483,0.03340517241379311,22.036637931034488,503,171,38
0.15,0.25,10,Morgan,476,3.38,408,4.067669172932331,0.04633620689655173,25.646551724137936,529,121,12
0.15,0.25,10,AtomPair,427,2.714859437751004,347,2.788659793814433,0.0425646551724138,23.00646551724138,505,158,36
0.15,0.25,10,Avalon,426,2.704,361,3.0055555555555555,0.04741379310344827,22.952586206896555,526,165,15
0.15,0.25,50,RDKit2D,1624,2.4871794871794872,1129,2.3097447795823665,0.02801724137931036,17.5,1600,471,391
0.15,0.25,50,NYAN,1506,2.244628099173554,1110,2.2599318955732124,0.017241379310344834,16.22844827586207,1637,527,354
0.15,0.25,50,Morgan,1829,3.062006764374295,1441,3.62,0.026939655172413784,19.70905172413793,1788,347,203
0.15,0.25,50,AtomPair,1445,2.136900078678206,1088,2.204872646733112,0.006465517241379309,15.571120689655173,1578,490,413
0.15,0.25,50,Avalon,1592,2.416370106761566,1194,2.4981179422835633,0.032866379310344834,17.155172413793103,1706,512,285
0.15,0.25,100,RDKit2D,2585,2.2199150542708823,1738,2.1525198938992043,0.019935344827586216,13.92780172413793,2390,652,856
0.15,0.25,100,NYAN,2407,2.047888550282978,1648,2.0312891113892366,0.011853448275862072,12.96875,2422,774,824
