setting,baseline,metric,direction,n_queries,mean_delta,ci95_low,ci95_high,paired_win_rate,wilcoxon_greater_p
low_morgan_lt_0.25,Avalon,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.05194884061456117,0.045067791093418186,0.05890093138380734,0.65625,1.6978417667435692e-50
low_morgan_lt_0.25,Morgan,top50_corr,cgp_minus_baseline,1856,0.013756780065406808,0.012209140315937289,0.01527886710385858,0.6438577586206896,3.079577493824271e-60
low_morgan_lt_0.25,Morgan,ndcg50,cgp_minus_baseline,1856,0.04201617896562414,0.03744666160464504,0.04672788074313506,0.6276939655172413,3.328160750538367e-55
low_morgan_lt_0.25,Morgan,retention50,cgp_minus_baseline,1856,0.05915081345716518,0.05314123398422852,0.06479698219693064,0.6438577586206896,5.186021377373456e-60
low_morgan_lt_0.25,Morgan,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.02435344827586207,0.018965517241379314,0.02990301724137931,0.29364224137931033,1.8675896598418777e-15
low_morgan_lt_0.25,Morgan,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.05374249121282522,0.046859962751925825,0.06083747235100379,0.6514008620689655,7.14975575541771e-51
low_morgan_lt_0.25,NYAN,top50_corr,cgp_minus_baseline,1856,0.010741384011998844,0.009281879157834707,0.012178928527060935,0.6142241379310345,1.3662577261257631e-39
low_morgan_lt_0.25,NYAN,ndcg50,cgp_minus_baseline,1856,0.033178901388597734,0.028835937962481697,0.03749696976387929,0.6109913793103449,1.921375118994297e-35
low_morgan_lt_0.25,NYAN,retention50,cgp_minus_baseline,1856,0.0455236844079614,0.03928582137444386,0.051943022738871525,0.6142241379310345,4.0629527153000546e-39
low_morgan_lt_0.25,NYAN,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.025161637931034483,0.019989224137931035,0.03049703663793103,0.28825431034482757,1.421108699815872e-17
low_morgan_lt_0.25,NYAN,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.03670400230393638,0.030126478481334415,0.04306036389748318,0.6179956896551724,4.2097648364886565e-31
low_morgan_lt_0.25,RDKit2D,top50_corr,cgp_minus_baseline,1856,0.010766399600267255,0.009288928804440863,0.012259478987200319,0.6007543103448276,3.7027178480837043e-34
low_morgan_lt_0.25,RDKit2D,ndcg50,cgp_minus_baseline,1856,0.030861020132150484,0.026263134673915955,0.035712261118984436,0.5894396551724138,2.1628554233290814e-28
low_morgan_lt_0.25,RDKit2D,retention50,cgp_minus_baseline,1856,0.042600650893495795,0.036247033511499875,0.04876736881627856,0.6007543103448276,1.102434988031402e-32
low_morgan_lt_0.25,RDKit2D,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.02165948275862069,0.016647359913793104,0.02704741379310345,0.2801724137931034,2.994552767919894e-13
low_morgan_lt_0.25,RDKit2D,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.03427345502225603,0.027874923570715127,0.040335520175345405,0.6077586206896551,1.3117880191866276e-26
low_morgan_lt_0.30,AtomPair,top50_corr,cgp_minus_baseline,1856,0.010537993027424784,0.009050176398362647,0.011937809966330572,0.6126077586206896,1.4816629212078314e-39
low_morgan_lt_0.30,AtomPair,ndcg50,cgp_minus_baseline,1856,0.03336760353240588,0.0291596983786706,0.03775809623861823,0.6142241379310345,2.1336015748257913e-38
low_morgan_lt_0.30,AtomPair,retention50,cgp_minus_baseline,1856,0.04394607702221402,0.03791942386182027,0.0498734766507315,0.6126077586206896,6.26883985285281e-39
low_morgan_lt_0.30,AtomPair,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.02575431034482759,0.02042025862068966,0.031142241379310345,0.28825431034482757,1.1790643116434158e-17
low_morgan_lt_0.30,AtomPair,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.04162493231714929,0.03447382239006077,0.04862105544516837,0.6363146551724138,1.425277579925121e-36
