setting,active_threshold,topk,baseline,metric,direction,n_queries,mean_delta,ci95_low,ci95_high,paired_win_rate,wilcoxon_greater_p
low_morgan_lt_0.30,-2.0,50,RDKit2D,active_lift,cgp_minus_baseline,88,3.292084466427079,2.683427313402703,3.9178027937928803,0.8295454545454546,4.743808060452988e-14
low_morgan_lt_0.30,-2.0,50,RDKit2D,top_mean_absdiff,baseline_minus_cgp,88,0.47951610975646125,0.38546733369043984,0.5740130574054323,0.8409090909090909,9.746210738288119e-14
low_morgan_lt_0.30,-2.0,50,RDKit2D,top_median_absdiff,baseline_minus_cgp,88,0.5581676406588734,0.447937892811189,0.6701646257003961,0.875,6.912473472241044e-14
low_morgan_lt_0.30,-2.0,100,AtomPair,top_active_fraction,cgp_minus_baseline,88,0.13715909090909092,0.1164715909090909,0.1593181818181818,0.8863636363636364,5.8451214751919105e-15
low_morgan_lt_0.30,-2.0,100,AtomPair,active_lift,cgp_minus_baseline,88,2.9472028572336613,2.485602409320996,3.443614359821285,0.8863636363636364,5.885185675345834e-15
low_morgan_lt_0.30,-2.0,100,AtomPair,top_mean_absdiff,baseline_minus_cgp,88,0.39364498577419327,0.32064893264737826,0.47010683328978253,0.9204545454545454,1.0054379730438507e-13
low_morgan_lt_0.30,-2.0,100,AtomPair,top_median_absdiff,baseline_minus_cgp,88,0.416449766250232,0.3379476706707382,0.5016908627686048,0.9090909090909091,8.156947808872917e-15
low_morgan_lt_0.30,-2.0,100,Avalon,top_active_fraction,cgp_minus_baseline,88,0.1364772727272727,0.11534090909090909,0.15784659090909087,0.875,1.4955271916374515e-14
low_morgan_lt_0.30,-2.0,100,Avalon,active_lift,cgp_minus_baseline,88,2.9344680019431992,2.485566306999305,3.4181295531603166,0.875,1.529432865254037e-14
low_morgan_lt_0.30,-2.0,100,Avalon,top_mean_absdiff,baseline_minus_cgp,88,0.4658196598346959,0.3899647181401647,0.543860127056658,0.9090909090909091,1.0570429093935313e-14
low_morgan_lt_0.30,-2.0,100,Avalon,top_median_absdiff,baseline_minus_cgp,88,0.5108706104431555,0.43133805783588536,0.5924094810806723,0.9090909090909091,1.7403590844015365e-15
low_morgan_lt_0.30,-2.0,100,Morgan,top_active_fraction,cgp_minus_baseline,88,0.15386363636363634,0.13193181818181818,0.1759119318181818,0.8863636363636364,2.1037853807706527e-15
low_morgan_lt_0.30,-2.0,100,Morgan,active_lift,cgp_minus_baseline,88,3.3053673784643482,2.8553596367065524,3.7788434891998457,0.8863636363636364,2.3087581085240243e-15
low_morgan_lt_0.30,-2.0,100,Morgan,top_mean_absdiff,baseline_minus_cgp,88,0.507954604815234,0.43563866824582287,0.5806100644230338,0.9090909090909091,1.2057565688829526e-15
low_morgan_lt_0.30,-2.0,100,Morgan,top_median_absdiff,baseline_minus_cgp,88,0.5290342338941462,0.45107618626726353,0.6087778315232836,0.9545454545454546,5.196367083810195e-16
