low_tanimoto,active_threshold,topk,baseline,directed_active_hits_delta,directed_active_hits_relative,unique_active_pairs_delta,unique_active_pairs_relative,query_hit_rate_delta,yield_delta_per_1000,cgp_only_unique_pairs,baseline_only_unique_pairs,overlap_unique_pairs
0.2,-2.0,50,Avalon,727,2.808457711442786,563,3.0472727272727274,0.022727272727272818,165.2272727272727,732,169,106
0.2,-2.0,100,RDKit2D,1162,2.518954248366013,823,2.4909420289855073,0.022727272727272818,132.04545454545456,1025,202,350
0.2,-2.0,100,NYAN,1153,2.4896640826873386,840,2.5700934579439254,-0.03409090909090906,131.02272727272725,1043,203,332
0.2,-2.0,100,Morgan,1380,3.5228519195612433,1024,3.9173789173789175,-0.045454545454545414,156.8181818181818,1154,130,221
0.2,-2.0,100,AtomPair,1183,2.59005376344086,852,2.6290630975143405,-0.045454545454545414,134.4318181818182,1044,192,331
0.2,-2.0,100,Avalon,1176,2.5659121171770973,862,2.6803118908382064,-0.03409090909090906,133.63636363636363,1082,220,293
0.15,-1.0,10,RDKit2D,363,2.359550561797753,262,2.043824701195219,0.06417112299465244,194.11764705882356,483,221,30
0.15,-1.0,10,NYAN,310,1.96875,264,2.0602409638554215,0.03208556149732622,165.77540106951875,484,220,29
0.15,-1.0,10,Morgan,401,2.7510917030567685,361,3.375,0.0802139037433156,214.43850267379682,502,141,11
0.15,-1.0,10,AtomPair,328,2.0860927152317883,272,2.128630705394191,0.05882352941176472,175.4010695187166,481,209,32
0.15,-1.0,10,Avalon,379,2.50996015936255,328,2.772972972972973,0.17112299465240643,202.6737967914439,493,165,20
0.15,-1.0,50,RDKit2D,1434,2.022824536376605,1024,1.9126559714795008,0.0,153.3689839572193,1756,732,390
0.15,-1.0,50,NYAN,1334,1.8881491344873502,1059,1.9742410303587856,-0.010695187165775444,142.6737967914439,1800,741,346
0.15,-1.0,50,Morgan,1780,2.6856060606060606,1478,3.212574850299401,-0.010695187165775444,190.3743315508022,1971,493,175
0.15,-1.0,50,AtomPair,1326,1.8781456953642384,1063,1.9815327793167128,-0.005347593582887722,141.81818181818187,1765,702,381
0.15,-1.0,50,Avalon,1511,2.140377358490566,1193,2.2518363064008393,-0.010695187165775444,161.60427807486636,1878,685,268
0.15,-1.0,100,RDKit2D,2451,1.8676106194690265,1671,1.8325859491778775,-0.005347593582887722,131.0695187165776,2708,1037,970
0.15,-1.0,100,NYAN,2406,1.8383275261324041,1675,1.836245631552671,-0.005347593582887722,128.66310160427813,2736,1061,942
0.15,-1.0,100,Morgan,3190,2.529242569511026,2388,2.8511627906976744,-0.005347593582887722,170.58823529411768,3167,779,511
0.15,-1.0,100,AtomPair,2155,1.6904838192886895,1534,1.7154850746268657,-0.005347593582887722,115.24064171122998,2691,1157,987
0.15,-1.0,100,Avalon,2496,1.897841726618705,1729,1.8871216008209337,-0.005347593582887722,133.47593582887706,2866,1137,812
0.15,-1.5,10,RDKit2D,257,3.1779661016949152,189,2.672566371681416,0.25619834710743805,212.39669421487605,286,97,16
0.15,-1.5,10,NYAN,228,2.5510204081632653,188,2.6491228070175437,0.18181818181818188,188.42975206611573,290,102,12
