method,num_queries,topk,corr_threshold,directed_hits,unique_pair_hits,queries_with_hit,query_hit_rate,hit_yield_per_1000_ranked,mean_hit_rank,median_hit_corr,setting,low_tanimoto,section,query_idx,CGP-Align,RDKit2D,cgp_better,same,n_query,num_candidates,random_expected_corr,mean_functional_neighbor_rank_percentile,best_functional_neighbor_rank_percentile,top10_corr,top10_poscorr,ndcg10,retention10,functional_top10_in_top10_rate,oracle_top10_corr,top50_corr,top50_poscorr,ndcg50,retention50,functional_top10_in_top50_rate,oracle_top50_corr,top100_corr,top100_poscorr,ndcg100,retention100,functional_top10_in_top100_rate,oracle_top100_corr,num_pairs,mean_prism_response_corr,median_shared_top50_genes,mean_shared_top50_genes,mean_shared_gene_jaccard,mean_shared_gene_neglog10p,fraction_with_category_hit,mean_unique_categories,fraction_with_known_target_hit,retrieved_idx,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20,morgan_tanimoto,query_inchikey,retrieved_inchikey
NYAN,1856.0,50.0,0.4,232.0,168.0,120.0,0.0646551724137931,2.5,24.155172413793103,0.4573069810867309,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,50.0,0.4,182.0,109.0,106.0,0.0571120689655172,1.961206896551724,24.78021978021978,0.4532136023044586,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,50.0,0.4,196.0,143.0,108.0,0.0581896551724137,2.112068965517241,25.637755102040817,0.4499170929193496,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,50.0,0.4,209.0,147.0,108.0,0.0581896551724137,2.2521551724137927,22.880382775119617,0.4406386911869049,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,50.0,0.4,106.0,105.0,72.0,0.0387931034482758,1.1422413793103448,23.50943396226415,0.4439194649457931,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,100.0,0.4,998.0,674.0,182.0,0.0980603448275862,5.377155172413793,41.79058116232465,0.4501329660415649,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,100.0,0.4,362.0,263.0,131.0,0.0705818965517241,1.9504310344827585,49.68508287292818,0.4507833421230316,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,100.0,0.4,403.0,277.0,148.0,0.0797413793103448,2.171336206896552,46.01985111662531,0.4530626535415649,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,100.0,0.4,340.0,208.0,141.0,0.0759698275862068,1.831896551724138,48.24117647058824,0.4512026011943817,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,100.0,0.4,398.0,274.0,160.0,0.0862068965517241,2.144396551724138,50.69597989949749,0.4499170929193496,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,100.0,0.4,426.0,303.0,143.0,0.0770474137931034,2.2952586206896552,49.25117370892018,0.4428821951150894,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,100.0,0.4,209.0,204.0,101.0,0.0544181034482758,1.1260775862068964,49.96172248803828,0.4443823993206024,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,10.0,0.25,754.0,587.0,267.0,0.1438577586206896,40.625,5.245358090185676,0.3368538320064544,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,10.0,0.25,280.0,247.0,178.0,0.0959051724137931,15.086206896551724,5.353571428571429,0.3290421068668365,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
