entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,stage_key,stage_label,pca1,pca2
10447,LAPTM4A|orf|JCP2022_914666,gene,gene_embedding,gene_embedding::orf,LAPTM4A,orf,LAPTM4A::orf,branch_pretrained,Before joint training,-0.54391646,-0.3749046
10454,LARP1B|orf|JCP2022_911344,gene,gene_embedding,gene_embedding::orf,LARP1B,orf,LARP1B::orf,branch_pretrained,Before joint training,-0.6770688,-0.49502006
10455,LARP1B|orf|JCP2022_911345,gene,gene_embedding,gene_embedding::orf,LARP1B,orf,LARP1B::orf,branch_pretrained,Before joint training,-0.6770688,-0.49502006
10459,LARP7|orf|JCP2022_907782,gene,gene_embedding,gene_embedding::orf,LARP7,orf,LARP7::orf,branch_pretrained,Before joint training,-0.68878025,-0.41936025
10464,LASP1|orf|JCP2022_906098,gene,gene_embedding,gene_embedding::orf,LASP1,orf,LASP1::orf,branch_pretrained,Before joint training,-0.6490808,-0.45913914
10477,LBR|crispr|JCP2022_803782,gene,gene_embedding,gene_embedding::crispr,LBR,crispr,LBR::crispr,branch_pretrained,Before joint training,-0.5775262,0.4124974
10478,LBR|orf|JCP2022_900869,gene,gene_embedding,gene_embedding::orf,LBR,orf,LBR::orf,branch_pretrained,Before joint training,-0.7035249,-0.5036919
10492,LCK|orf|JCP2022_912952,gene,gene_embedding,gene_embedding::orf,LCK,orf,LCK::orf,branch_pretrained,Before joint training,-0.618603,-0.45646974
10493,LCK|orf|JCP2022_913715,gene,gene_embedding,gene_embedding::orf,LCK,orf,LCK::orf,branch_pretrained,Before joint training,-0.618603,-0.45646974
10530,LDHB|crispr|JCP2022_803800,gene,gene_embedding,gene_embedding::crispr,LDHB,crispr,LDHB::crispr,branch_pretrained,Before joint training,-0.5750723,0.3975767
10550,LELP1|orf|JCP2022_914270,gene,gene_embedding,gene_embedding::orf,LELP1,orf,LELP1::orf,branch_pretrained,Before joint training,-0.34010744,-0.05707161
10555,LEO1|orf|JCP2022_904466,gene,gene_embedding,gene_embedding::orf,LEO1,orf,LEO1::orf,branch_pretrained,Before joint training,-0.68322355,-0.4565226
10568,LGALS2|crispr|JCP2022_803812,gene,gene_embedding,gene_embedding::crispr,LGALS2,crispr,LGALS2::crispr,branch_pretrained,Before joint training,-0.5491601,0.40162468
10569,LGALS2|orf|JCP2022_900877,gene,gene_embedding,gene_embedding::orf,LGALS2,orf,LGALS2::orf,branch_pretrained,Before joint training,-0.6191442,-0.48330364
10600,LHFPL1|orf|JCP2022_905123,gene,gene_embedding,gene_embedding::orf,LHFPL1,orf,LHFPL1::orf,branch_pretrained,Before joint training,-0.5986647,-0.3593205
10604,LHFPL3|orf|JCP2022_909380,gene,gene_embedding,gene_embedding::orf,LHFPL3,orf,LHFPL3::orf,branch_pretrained,Before joint training,-0.65302444,-0.44416234
10605,LHFPL3|orf|JCP2022_915118,gene,gene_embedding,gene_embedding::orf,LHFPL3,orf,LHFPL3::orf,branch_pretrained,Before joint training,-0.65302444,-0.44416234
10626,LIF|crispr|JCP2022_803835,gene,gene_embedding,gene_embedding::crispr,LIF,crispr,LIF::crispr,branch_pretrained,Before joint training,-0.5777495,0.40371507
10649,LIMD2|orf|JCP2022_903954,gene,gene_embedding,gene_embedding::orf,LIMD2,orf,LIMD2::orf,branch_pretrained,Before joint training,-0.67263937,-0.48665175
