compound_id,method,hits_at_50,best_positive_rank
APZMVIUFGITNIS-UHFFFAOYSA-N,Structure feature baseline,0,1493
BOOMHTFCWOJWFO-UHFFFAOYSA-N,Structure feature baseline,0,374
KBKCRFXEPZBOOV-UHFFFAOYSA-N,Structure feature baseline,0,1050
IPSBURKJMYWMAP-UHFFFAOYSA-N,Structure feature baseline,0,661
KTABDGJWRGYSDS-UHFFFAOYSA-N,Structure feature baseline,0,2529
LQBFVOJULICQNN-UHFFFAOYSA-N,Structure feature baseline,0,563
QOLKJRVPHPHRGK-UHFFFAOYSA-N,Structure feature baseline,0,63
PBIGZFXZDWCSRR-UHFFFAOYSA-N,Structure feature baseline,0,170
QFWBATAXSPHPMW-UHFFFAOYSA-N,Structure feature baseline,0,1775
LKUOJDGRNKVVFF-UHFFFAOYSA-N,Structure feature baseline,0,380
BPECMASLXQFQDL-UHFFFAOYSA-N,Structure feature baseline,0,2503
ICRBGIGXWIYWAR-UHFFFAOYSA-N,Structure feature baseline,0,654
ASQMUMZEQLWJRC-UHFFFAOYSA-N,Structure feature baseline,0,1184
VPXMYYLBTDFMCU-UHFFFAOYSA-N,Structure feature baseline,0,146
XYKOHXITKFDRGA-UHFFFAOYSA-N,Structure feature baseline,0,1639
ZGUIUHFRDIBILQ-UHFFFAOYSA-N,Structure feature baseline,0,2407
JLUCXHFHFGFPKR-UHFFFAOYSA-N,Structure feature baseline,0,640
CILAYGLQHAKLKB-UHFFFAOYSA-N,Structure feature baseline,0,712
HZVFKYUFHYWGKY-UHFFFAOYSA-N,Structure feature baseline,0,116
DKKNFYDDWXHBGW-UHFFFAOYSA-N,Structure feature baseline,0,2411
FUXXFRGQROKJMA-UHFFFAOYSA-N,Structure feature baseline,0,2166
SFKRGROOOQWMHO-UHFFFAOYSA-N,Structure feature baseline,0,1412
MFKDDXORAZUQRH-UHFFFAOYSA-N,Structure feature baseline,0,3401
MMDZEVOCFQODEQ-UHFFFAOYSA-N,Structure feature baseline,0,281
FHRIFFBDEBJJCP-UHFFFAOYSA-N,Structure feature baseline,0,672
SHMCEJPRMXUWGZ-UHFFFAOYSA-N,Structure feature baseline,0,2836
NBWHZPBTDQVWTD-UHFFFAOYSA-N,Structure feature baseline,0,216
LLFBHYLYGGTOCE-UHFFFAOYSA-N,Structure feature baseline,0,427
HRZNKTLROIVWFR-UHFFFAOYSA-N,Structure feature baseline,0,2254
PTEAZVSMJLAEEN-UHFFFAOYSA-N,Structure feature baseline,0,1308
XQJWTJLJEYIUDZ-UHFFFAOYSA-N,Structure feature baseline,0,189
RUTRAHBESVIVOH-UHFFFAOYSA-N,Structure feature baseline,0,686
YKFWMDHZMQLWBO-UHFFFAOYSA-N,Structure feature baseline,0,830
KNTYDPSSWPRZBD-UHFFFAOYSA-N,Structure feature baseline,0,1217
DISSYWHTRARGQK-UHFFFAOYSA-N,Structure feature baseline,0,2063
VICISMFTIXCSDJ-UHFFFAOYSA-N,Structure feature baseline,0,2429
VQPFSIRUEPQQPP-UHFFFAOYSA-N,Structure feature baseline,0,575
JICGTTLHAJVRNZ-UHFFFAOYSA-N,Structure feature baseline,0,392
CQDRWCARBWMDPZ-UHFFFAOYSA-N,Structure feature baseline,0,2072
YKWPTMDNJXOFDQ-UHFFFAOYSA-N,Structure feature baseline,0,302
PHGJSMSSNUWHNG-UHFFFAOYSA-N,Structure feature baseline,1,31
WWTVTVWQBRCVHX-UHFFFAOYSA-N,Structure feature baseline,0,262
RWRYRSTYOHCKTE-UHFFFAOYSA-N,Structure feature baseline,0,191
ASHRCMPMLAGIHP-UHFFFAOYSA-N,Structure feature baseline,0,1005
BRQREQXNNXQIGR-UHFFFAOYSA-N,Structure feature baseline,0,1045
UULAWVHGTBBDQX-UHFFFAOYSA-N,Structure feature baseline,1,48
WIJGIJULWWQSOJ-UHFFFAOYSA-N,Structure feature baseline,0,1070
MXOYLUPHHFRUHB-UHFFFAOYSA-N,Structure feature baseline,0,3843
PGVAVYYXWQUOEX-UHFFFAOYSA-N,Structure feature baseline,0,680
RYNPKJNGSUJHNB-UHFFFAOYSA-N,Structure feature baseline,0,1096
CNOZLNNAVQPFBD-UHFFFAOYSA-N,Structure feature baseline,2,20
JEBCUVZTWKTCMZ-UHFFFAOYSA-N,Structure feature baseline,0,480
GQDVENPGKLNXBU-UHFFFAOYSA-N,Structure feature baseline,0,1757
UUQMNUMQCIQDMZ-UHFFFAOYSA-N,Structure feature baseline,1,16
GCOOYPQZOTUDRJ-UHFFFAOYSA-N,Structure feature baseline,0,202
QWQAGRYUHSPTGI-UHFFFAOYSA-N,Structure feature baseline,0,62
UJTKPRROZALPSD-UHFFFAOYSA-N,Structure feature baseline,0,1871
IGBUFJMEZYAQMM-UHFFFAOYSA-N,Structure feature baseline,0,586
LZAUMTRICGTLTH-UHFFFAOYSA-N,Structure feature baseline,0,58
URMXLVMRDVBPIA-UHFFFAOYSA-N,Structure feature baseline,0,383
GUVOXTZYFMFKNT-UHFFFAOYSA-N,Structure feature baseline,1,40
LNDKKPIKNYVGHB-UHFFFAOYSA-N,Structure feature baseline,0,735
HXENZVZUZIQBEV-UHFFFAOYSA-N,Structure feature baseline,0,310
SNRMXWZVUFUQHL-UHFFFAOYSA-N,Structure feature baseline,0,266
LNDPRMJIVLEEKX-UHFFFAOYSA-N,Structure feature baseline,0,1191
FOPXCFFROVQCKO-UHFFFAOYSA-N,Structure feature baseline,0,130
AMNDAUDIPWQFDT-UHFFFAOYSA-N,Structure feature baseline,0,1862
JUTIICPAEILXAM-UHFFFAOYSA-N,Structure feature baseline,0,386
ORYIJHQLVLSPRM-UHFFFAOYSA-N,Structure feature baseline,0,1983
JYDIDNMKIVGUQV-UHFFFAOYSA-N,Structure feature baseline,0,76
BISNTLIHNGSEKR-UHFFFAOYSA-N,Structure feature baseline,0,717
BGVAWLOHHDAECK-UHFFFAOYSA-N,Structure feature baseline,0,548
NTJOBXMMWNYJFB-UHFFFAOYSA-N,Structure feature baseline,0,1137
GKAGPBAFTGRDQF-UHFFFAOYSA-N,Structure feature baseline,0,1001
HYLNKGUDHMNUFW-UHFFFAOYSA-N,Structure feature baseline,0,831
XOKPVAFBMLWNSV-UHFFFAOYSA-N,Structure feature baseline,0,85
GWWCXYPPCZAVJY-UHFFFAOYSA-N,Structure feature baseline,0,98
IGFDIFLMMLWKKY-UHFFFAOYSA-N,Structure feature baseline,0,391
PMTOSQGRECRFPE-UHFFFAOYSA-N,Structure feature baseline,0,1649
