stage_order,stage_key,stage_label,entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,pca_scope,pca_panel,pca1,pca2,latent_dim1,latent_dim2
3,joint_aligned,After CGP-Align alignment,95428,VTRUILOKEMKRGY-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VTRUILOKEMKRGY-UHFFFAOYSA-N,shared,Shared latent,-0.19768041,-0.26929075,-0.19768041,-0.26929075
3,joint_aligned,After CGP-Align alignment,95517,VUEUBPMKKJFPMW-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VUEUBPMKKJFPMW-UHFFFAOYSA-N,shared,Shared latent,-0.10053465,0.39071584,-0.10053465,0.39071584
3,joint_aligned,After CGP-Align alignment,95640,VUTVWNYOMQIELH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VUTVWNYOMQIELH-UHFFFAOYSA-N,shared,Shared latent,-0.34843194,0.28746304,-0.34843194,0.28746304
3,joint_aligned,After CGP-Align alignment,95801,VVOLHIQHQGNSEC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VVOLHIQHQGNSEC-UHFFFAOYSA-N,shared,Shared latent,-0.41774628,-0.22554752,-0.41774628,-0.22554752
3,joint_aligned,After CGP-Align alignment,95844,VVSUVKNJKAJISM-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VVSUVKNJKAJISM-UHFFFAOYSA-N,shared,Shared latent,-0.028658032,0.24955177,-0.028658032,0.24955177
3,joint_aligned,After CGP-Align alignment,95853,VVTVADLSZISYBN-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VVTVADLSZISYBN-UHFFFAOYSA-N,shared,Shared latent,-0.39800182,-0.32669756,-0.39800182,-0.32669756
3,joint_aligned,After CGP-Align alignment,95891,VVZUIALZTXIDGT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VVZUIALZTXIDGT-UHFFFAOYSA-N,shared,Shared latent,0.036836892,0.320252,0.036836892,0.320252
3,joint_aligned,After CGP-Align alignment,96007,VWSNBVCHDPQEID-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VWSNBVCHDPQEID-UHFFFAOYSA-N,shared,Shared latent,-0.02108717,0.13279538,-0.02108717,0.13279538
3,joint_aligned,After CGP-Align alignment,96015,VWTCUBVWRTYRKL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VWTCUBVWRTYRKL-UHFFFAOYSA-N,shared,Shared latent,-0.13081047,-0.23751214,-0.13081047,-0.23751214
3,joint_aligned,After CGP-Align alignment,96156,VXLBIRUMVKSRHH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VXLBIRUMVKSRHH-UHFFFAOYSA-N,shared,Shared latent,-0.09342481,-0.15992332,-0.09342481,-0.15992332
3,joint_aligned,After CGP-Align alignment,96186,VXPXGJVZGRTHIM-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VXPXGJVZGRTHIM-UHFFFAOYSA-N,shared,Shared latent,-0.4064659,-0.3313488,-0.4064659,-0.3313488
3,joint_aligned,After CGP-Align alignment,96313,VYIKEPOZDAQBBG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VYIKEPOZDAQBBG-UHFFFAOYSA-N,shared,Shared latent,-0.2980785,-0.014655367,-0.2980785,-0.014655367
