task,representation,display,model,fold,n_train,n_test,positive_train,positive_test,n_train_scaffolds,n_test_scaffolds,scaffold_overlap,auroc,auprc
Endocrine Disruption_SR-MMP,NYAN_latent,NYAN,extratrees_scaffold,2,3345,2184,552,323,2214,742,0,0.8409074651099728,0.5209796866130424
Endocrine Disruption_SR-MMP,NYAN_latent,NYAN,extratrees_scaffold,4,4448,1081,716,159,2216,740,0,0.8548070232881757,0.5031855381029723
Endocrine Disruption_SR-MMP,Morgan2048,Morgan,extratrees_scaffold,0,4453,1076,700,175,2227,729,0,0.8511146345330585,0.5433842511300496
Endocrine Disruption_SR-MMP,Morgan2048,Morgan,extratrees_scaffold,1,4342,1187,657,218,2212,744,0,0.8801848117325155,0.6656828296771451
Endocrine Disruption_SR-MMP,Morgan2048,Morgan,extratrees_scaffold,2,3345,2184,552,323,2214,742,0,0.798112802631163,0.4131986973593074
Endocrine Disruption_SR-MMP,Morgan2048,Morgan,extratrees_scaffold,4,4448,1081,716,159,2216,740,0,0.8136945933778087,0.47092283792560535
Endocrine Disruption_SR-MMP,AtomPair2048,AtomPair,extratrees_scaffold,0,4453,1076,700,175,2227,729,0,0.8711304899318217,0.6456587562008556
Endocrine Disruption_SR-MMP,AtomPair2048,AtomPair,extratrees_scaffold,1,4342,1187,657,218,2212,744,0,0.9151399816324405,0.7462444737617323
Endocrine Disruption_SR-MMP,AtomPair2048,AtomPair,extratrees_scaffold,2,3345,2184,552,323,2214,742,0,0.8224738522349746,0.5020369153408983
Endocrine Disruption_SR-MMP,AtomPair2048,AtomPair,extratrees_scaffold,4,4448,1081,716,159,2216,740,0,0.865639367522067,0.5383360132800878
Endocrine Disruption_SR-MMP,Avalon1024,Avalon,extratrees_scaffold,0,4453,1076,700,175,2227,729,0,0.8347106389725701,0.5685068482261193
Endocrine Disruption_SR-MMP,Avalon1024,Avalon,extratrees_scaffold,1,4342,1187,657,218,2212,744,0,0.8984695278401076,0.6901291062425987
Endocrine Disruption_SR-MMP,Avalon1024,Avalon,extratrees_scaffold,2,3345,2184,552,323,2214,742,0,0.8276243838410389,0.4755302857356607
Endocrine Disruption_SR-MMP,Avalon1024,Avalon,extratrees_scaffold,4,4448,1081,716,159,2216,740,0,0.8239164245078378,0.5056664831490205
Endocrine Disruption_SR-p53,CGP_sep_k32,CGP-Align,extratrees_scaffold,0,6377,69,384,9,3387,31,0,0.8583333333333333,0.3848290305905248
Endocrine Disruption_SR-p53,CGP_sep_k32,CGP-Align,extratrees_scaffold,1,5203,1243,311,82,2568,850,0,0.8583328081342829,0.42249855812203874
Endocrine Disruption_SR-p53,CGP_sep_k32,CGP-Align,extratrees_scaffold,2,5235,1211,283,110,2578,840,0,0.850309635868219,0.46574674836279084
Endocrine Disruption_SR-p53,CGP_sep_k32,CGP-Align,extratrees_scaffold,3,3868,2578,280,113,2568,850,0,0.853966145506112,0.28743587139183213
Endocrine Disruption_SR-p53,CGP_sep_k32,CGP-Align,extratrees_scaffold,4,5101,1345,314,79,2571,847,0,0.8946347511348411,0.4228811252241954
Endocrine Disruption_SR-p53,RDKit2D,RDKit2D,extratrees_scaffold,0,6377,69,384,9,3387,31,0,0.7388888888888889,0.24960078048313342
Endocrine Disruption_SR-p53,RDKit2D,RDKit2D,extratrees_scaffold,1,5203,1243,311,82,2568,850,0,0.8769143505388541,0.393920861472593
Endocrine Disruption_SR-p53,RDKit2D,RDKit2D,extratrees_scaffold,2,5235,1211,283,110,2578,840,0,0.8607505573445628,0.48502939429969955
Endocrine Disruption_SR-p53,RDKit2D,RDKit2D,extratrees_scaffold,3,3868,2578,280,113,2568,850,0,0.7783571774758118,0.21410815727836485
Endocrine Disruption_SR-p53,RDKit2D,RDKit2D,extratrees_scaffold,4,5101,1345,314,79,2571,847,0,0.9159317695522627,0.5088663642648431
Endocrine Disruption_SR-p53,NYAN_latent,NYAN,extratrees_scaffold,0,6377,69,384,9,3387,31,0,0.6509259259259259,0.20812886195323133
Endocrine Disruption_SR-p53,NYAN_latent,NYAN,extratrees_scaffold,1,5203,1243,311,82,2568,850,0,0.8852440074788346,0.34978932617394637
