method,active_queries,topk,directed_active_hits,unique_active_pairs,query_hit_rate,top_active_fraction,candidate_active_rate,active_lift,top_mean_lfc,top_mean_absdiff,top_median_absdiff,hit_yield_per_1000_ranked,setting,low_tanimoto,active_threshold,num_active_compounds
Morgan,88,100,547,351,1.0,0.062159090909090914,0.045655913334459064,1.3763724931002541,-0.17118287209527888,2.899944334967182,3.062077035842363,62.15909090909091,low_morgan_lt_0.20,0.2,-2.0,88
AtomPair,88,100,744,523,1.0,0.08454545454545456,0.045655913334459064,1.8764667958653234,-0.32420444683929167,2.7605912478370205,2.9190380137310554,84.54545454545455,low_morgan_lt_0.20,0.2,-2.0,88
Avalon,88,100,751,513,0.9886363636363636,0.08534090909090909,0.045655913334459064,1.883651199340061,-0.25865194532867464,2.830726147773087,3.012141782879057,85.3409090909091,low_morgan_lt_0.20,0.2,-2.0,88
Random,88,100,398,391,0.9886363636363636,0.045227272727272734,0.045655913334459064,0.9909417378614982,-0.09506782336268356,2.9549720962521078,3.0953024476766586,45.22727272727273,low_morgan_lt_0.20,0.2,-2.0,88
CGP-Align,121,10,385,302,0.8264462809917356,0.3181818181818182,0.06312221747672522,5.058949634663957,-0.9941612141459896,1.986991258271227,2.013934612119751,318.1818181818182,low_morgan_lt_0.20,0.2,-1.5,121
RDKit2D,121,10,157,142,0.6776859504132231,0.1297520661157025,0.06312221747672522,2.0975478359921436,-0.3072067674786749,2.475773952592093,2.618150514821582,129.75206611570246,low_morgan_lt_0.20,0.2,-1.5,121
NYAN,121,10,159,133,0.6446280991735537,0.13140495867768595,0.06312221747672522,2.117883507169086,-0.3098752152807298,2.4826653891372445,2.6090031415849446,131.40495867768595,low_morgan_lt_0.20,0.2,-1.5,121
Morgan,121,10,127,82,0.6363636363636364,0.10495867768595041,0.06312221747672522,1.6814117176046774,-0.2302838257171429,2.527625499614553,2.667608751401869,104.9586776859504,low_morgan_lt_0.20,0.2,-1.5,121
AtomPair,121,10,173,131,0.7272727272727273,0.1429752066115703,0.06312221747672522,2.3175162819451165,-0.36166137279596267,2.4374677536897518,2.5419416576614298,142.97520661157026,low_morgan_lt_0.20,0.2,-1.5,121
Avalon,121,10,131,97,0.6363636363636364,0.10826446280991736,0.06312221747672522,1.7300133126442028,-0.24918129915739065,2.527997432871287,2.625076612666411,108.26446280991736,low_morgan_lt_0.20,0.2,-1.5,121
Random,121,10,78,78,0.48760330578512395,0.06446280991735537,0.06312221747672522,1.0213272132754234,-0.13813627593927394,2.5953814936062893,2.684984500098046,64.46280991735537,low_morgan_lt_0.20,0.2,-1.5,121
CGP-Align,121,50,1748,1311,0.9338842975206612,0.2889256198347107,0.06312221747672522,4.61074987361477,-0.8942822363795058,2.078688455332929,2.178501478166893,288.92561983471074,low_morgan_lt_0.20,0.2,-1.5,121
RDKit2D,121,50,735,569,0.9090909090909091,0.12148760330578512,0.06312221747672522,1.955586956387194,-0.287495310105747,2.48912698610146,2.6428846754874527,121.48760330578511,low_morgan_lt_0.20,0.2,-1.5,121
NYAN,121,50,728,528,0.9338842975206612,0.1203305785123967,0.06312221747672522,1.9296455259054788,-0.2943546508422914,2.4831112327595037,2.617522554565654,120.33057851239668,low_morgan_lt_0.20,0.2,-1.5,121
Morgan,121,50,528,335,0.9752066115702479,0.08727272727272728,0.06312221747672522,1.3950448883390274,-0.16409124535454575,2.5774245242492784,2.715734229530862,87.27272727272728,low_morgan_lt_0.20,0.2,-1.5,121
AtomPair,121,50,783,574,0.9834710743801653,0.1294214876033058,0.06312221747672522,2.080103670670556,-0.3230892112156596,2.4546574080561783,2.591828497641427,129.4214876033058,low_morgan_lt_0.20,0.2,-1.5,121
Avalon,121,50,663,462,0.9504132231404959,0.10958677685950413,0.06312221747672522,1.7498667108304935,-0.25467504967372545,2.529299262367691,2.6813492966654193,109.58677685950413,low_morgan_lt_0.20,0.2,-1.5,121
Random,121,50,401,394,0.9421487603305785,0.06628099173553718,0.06312221747672522,1.0512265749111214,-0.11948367475863922,2.61805878475292,2.736615588703079,66.28099173553719,low_morgan_lt_0.20,0.2,-1.5,121
CGP-Align,121,100,3117,2234,0.9752066115702479,0.25760330578512397,0.06312221747672522,4.110603731610769,-0.7773547946294279,2.1524184012244754,2.2823540306458163,257.60330578512395,low_morgan_lt_0.20,0.2,-1.5,121
RDKit2D,121,100,1452,1024,0.9752066115702479,0.12,0.06312221747672522,1.9285511079673539,-0.2901827606776477,2.488148667645263,2.643079508867111,120.0,low_morgan_lt_0.20,0.2,-1.5,121
NYAN,121,100,1393,946,1.0,0.11512396694214876,0.06312221747672522,1.8430583132660865,-0.2826458943263273,2.489569776937123,2.634625053413266,115.12396694214875,low_morgan_lt_0.20,0.2,-1.5,121
Morgan,121,100,1019,657,1.0,0.08421487603305786,0.06312221747672522,1.3458443236503213,-0.15751131603001683,2.5879006137980594,2.7279286417308692,84.21487603305786,low_morgan_lt_0.20,0.2,-1.5,121
AtomPair,121,100,1466,1010,1.0,0.12115702479338843,0.06312221747672522,1.9428610002761248,-0.3166633427998124,2.4564178611653036,2.589331541864648,121.15702479338843,low_morgan_lt_0.20,0.2,-1.5,121
