method,query_idx,retrieved_idx,pair_a,pair_b,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20
AtomPair,35,1238,35,1238,1,0.528974711894989,0.3738383054733276,50,25,0.3333333333333333,3.851724614109988e-44,43.414344771092615,0,0,,aurora-a-inhibitor-i,barasertib-HQPA,Aurora kinase inhibitor,Aurora kinase inhibitor,AURKA,AURKB,,,CHN2;SYT11;PI4KA;SOCS6;MDM2;REV3L;SYT4;MED14;RUNX3;FBXO5;RUNX2;SOCS2;WRN;POLQ;RUNX1;SYT12;EHMT1;NSD1;TRIP10;SOCS3
AtomPair,1235,1011,1011,1235,1,0.4074074029922485,0.3686288595199585,50,21,0.26582278481012656,1.0606796405142755e-34,33.97441576724446,4,3,PI3K/AKT/mTOR:2; Cell cycle/mitosis:1; Microtubule:1,PP-121,SB-2343,protein tyrosine kinase inhibitor,"mTOR inhibitor, PI3K inhibitor","ABL1, EGFR, HCK, KDR, MTOR, PDGFRA, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC, SRC","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG",MTOR,MTOR,RUNX3;AFF3;RUNX1;RUNX2;CCNT1;CHN2;MED14;WRN;DDX56;AFF1;VGLL4;PIK3R3;PI4KA;MDM2;E2F1;MTOR;TAF1;WASF1;PHACTR1;PCNA
AtomPair,1076,1389,1076,1389,1,0.3521126806735992,0.3648203611373901,50,3,0.030927835051546393,0.004481931208727194,2.3485348135527326,0,0,,BMS-387032,PU-H71,"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor",HSP inhibitor,"CDK2, CDK7, CDK9",HSP90AA1,,,CHN2;SYT1;SYT4
AtomPair,191,1564,191,1564,1,0.4333333373069763,0.3616823256015777,50,15,0.17647058823529413,4.846287989994581e-22,21.31459078154205,1,1,Cell cycle/mitosis:1,ethacridine-lactate-monohydrate,proflavine-hemisulfate,DNA intercalating agent,topical anesthetic,,F2,,,FBXO5;SKP2;SOCS2;IFNA1;SGK1;IFNA13;TNFRSF17;IFNA2;IFNA8;IFNA5;IFNA14;CISH;CDC25A;KSR2;REV3L
AtomPair,958,1585,958,1585,1,0.4341636896133423,0.3267850875854492,50,32,0.47058823529411764,1.1262266741723024e-62,61.9483741908037,5,3,Cell cycle/mitosis:2; MAPK/RTK:2; Nuclear receptor/xenobiotic:1,NVP-AUY922,TAK-901,HSP inhibitor,Aurora kinase inhibitor,"HSP90AA1, HSP90AB1",AURKB,,,CHN2;REV3L;AFF3;SOCS2;WRN;TRRAP;POLQ;DDX56;RUNX3;MED14;CDC25A;PRPF8;MDM2;MAP3K2;CISH;SYT11;PI4KA;RUNX2;SOCS6;CSK
AtomPair,385,281,281,385,1,0.4074074029922485,0.318922221660614,50,16,0.19047619047619047,5.037496347360787e-24,23.29778525575339,2,2,MAPK/RTK:1; Nuclear receptor/xenobiotic:1,napabucasin,NSC-697923,STAT inhibitor,ubiquitin-conjugating enzyme inhibitor,STAT3,UBE2N,,,NCKIPSD;MDM2;CELF6;MAP3K11;IFNA6;E2F7;IFNA5;IFNA1;IFNA2;IFNA13;CARD9;IFNA14;PRPF8;IFNA8;REV3L;E2F1
AtomPair,1781,1420,1420,1781,1,0.4619124829769134,0.3155243992805481,50,24,0.3157894736842105,1.0496823698947559e-41,40.978942096997415,1,1,Cell cycle/mitosis:1,bosutinib,AV-412,"Abl kinase inhibitor, Bcr-Abl kinase inhibitor, src inhibitor",protein tyrosine kinase inhibitor,"ABL1, BCR, CAMK1D, CAMK2G, CDK2, FRK, FYN, HCK, LYN, MAP2K1, MAP2K2, MAP3K2, MAP4K5, SRC, STK10, STK24, STK4, TNK2, TXK","EGFR, ERBB2",CAMK1D,,CHN2;REV3L;POLQ;E2F4;SOCS6;MED14;MDM2;SYT11;SOCS2;TAGAP;RUNX3;DDX56;SOCS3;KMT2C;CISH;STAG1;EHMT1;E2F5;SYT12;CDCA3
AtomPair,7,1282,7,1282,2,0.2851239740848541,0.5612868666648865,50,21,0.26582278481012656,1.0606796405142755e-34,33.97441576724446,3,3,Cell cycle/mitosis:1; Lipid/transport state:1; Nuclear receptor/xenobiotic:1,hexachlorophene,niclosamide,potassium channel activator,"DNA replication inhibitor, STAT inhibitor","GLUD1, SDHD",STAT3,,,ZBTB20;REV3L;TLX3;PPARGC1A;ETV5;ID3;SLCO2B1;WWTR1;TYMS;PHF13;FOXO3;ID1;ZHX2;HES1;SMAD2;NKX2-5;KLF12;MYOD1;MIXL1;ZNF804A
AtomPair,1112,1486,1112,1486,2,0.4517543911933899,0.440516322851181,50,20,0.25,1.8231879712232907e-32,31.739168553146122,0,0,,dovitinib,NVP-TAE226,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",protein tyrosine kinase inhibitor,"CSF1R, EGFR, FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, INSR, KDR, KIT, PDGFRA, PDGFRB",PTK2,,,CHN2;RUNX3;RUNX2;RUNX1;WRN;REV3L;MED14;PI4KA;AFF3;SYT11;POLQ;SOCS6;CRKL;FBXO5;SYT4;SYT12;TRIP10;MDM2;TRRAP;AFF1
AtomPair,51,1238,51,1238,2,0.4603709876537323,0.410674899816513,50,31,0.4492753623188406,7.362056947957032e-60,59.133000827464215,2,2,Cell cycle/mitosis:1; MAPK/RTK:1,WZ-3146,barasertib-HQPA,EGFR inhibitor,Aurora kinase inhibitor,EGFR,AURKB,,,PI4KA;CHN2;SOCS6;REV3L;SOCS2;SYT11;MDM2;RUNX3;FBXO5;MED14;WRN;HS1BP3;RUNX2;AFF3;POLQ;TRRAP;CISH;SYT4;NSD1;RUNX1
AtomPair,1186,187,187,1186,2,0.4973730444908142,0.3986695110797882,50,25,0.3333333333333333,3.851724614109988e-44,43.414344771092615,7,5,Cell cycle/mitosis:3; MAPK/RTK:1; Microtubule:1; Nuclear receptor/xenobiotic:1,GSK2126458,LY2801653,"mTOR inhibitor, PI3K inhibitor",MET inhibitor,"MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG",MET,,,CHN2;CDC25A;TAGAP;CISH;POLQ;REV3L;CSNK1D;DDX56;SOCS3;PRPF8;RUNX3;AFF3;CDC42EP3;E2F4;SOCS2;PIK3R3;EIF2AK1;CDK17;SOCS6;TRRAP
